"ID","Fecha de evaluación (dd/mm/aaaa)","Edad","Género","Años de educacion","OCUPACIÓN U OFICIO","LATERALIDAD","BILINGÜE","ESTADO CIVIL ACTUAL","ÁREA DE RESIDENCIA","INGRESOS MENSUALES","CONSUMO DE ALCOHOL","TRABAJOS POR FUERA DE LA COMUNIDAD","SERVICIOS DE INTERNET","SERVICIOS DE SALUD","SERVICIO DE ELECTRICIDAD","AC_Hablar","AC_Leer","AC_Escribir","AC_Idioma_Infancia","AC_Idioma_casa","AC_Idioma_trabajo","AC_Idioma_amigos","AC_Idioma_pensamiento","AC_Amigos_cercanos","AC_Fiestas","AC_Visitas","AC_Amigos_hijos","AC_Rituales","AC_Religion","AC_Vestimenta","AC_Se_considera","Fecha de nacimiento (dd/mm/aaaa)","Mano dominante","Edad comienzo escuela","Residencia actual","Tiempo vivido aquí","Residencia en otro lugar","¿Dónde?...39","¿Cuánto tiempo?","Lugar de nacimiento","Curso de idioma","¿Qué idioma?","¿Dónde?...44","Idioma materno padre","Idioma materno madre","Idioma casa 1","Porcentaje","P_I_Idioma","P_I_Primer contacto","P_I_Guardería","P_I_Preescolar","P_I_Primaria","P_I_Secundaria","P_I_Bachiller","P_I_Universidad","P_I_Contextos específicos","P_I_Expresión","P_I_Comprensión","P_I_Lectura","P_I_Escritura","P_I_Acento","S_I_Idioma","S_I_Primer contacto","S_I_Guardería","S_I_Preescolar","S_I_Primaria","S_I_Secundaria","S_I_Bachiller","S_I_Universidad","S_I_Contextos específicos","S_I_Expresión","S_I_Comprensión","S_I_Lectura","S_I_Escritura","S_I_Acento","SF1","SF2","SF3","SF4","SF5","SF6","SF7","SF8","SF9","SF10","SF11","SF12","SF13","SF14","SF15","SF16","SF17","SF18","SF19","SF20","SF21","SF22","SF23","SF24","SF25","SF26","SF27","SF28","SF29","SF30","SF31","SF32","SF33","SF34","SF35","SF36","MMSE","PHQ-9","Bartel","Figura de rey puntuación copia","Figura de rey puntuación memoria inmediata","Fluidez verbal M","Fluidez verbal R","Fluidez verbal P","Fluidez semantica animales","Fluidez semantica frutas","HLVRT-R ensayo 1","HLVRT-R ensayo 2","HLVRT-R ensayo 3","Total recuerdo inmediato","HLVRT-R evocación tardía","Reconocimiento total correctas","Falsos positivos semanticamente relacionados","Falsos positivos no relacionados semanticamente","Número total errores","STROOP P","STROOP C","STROOP PC","STROOP pc Calculado","Interferencia","M-WCST categorías correctas","M-WCST perseveraciones","M-WCST errores","M-WCST total errores","TMT A tiempo (sg)","TMT B tiempo (sg)","BTA-N","BTA-L","Total","SDMT","Errores","AC_Religion_rec","AC_Hablar_inv","AC_Leer_inv","AC_Escribir_inv","AC_Idioma_Infancia_inv","AC_Idioma_casa_inv","AC_Idioma_trabajo_inv","AC_Idioma_amigos_inv","AC_Idioma_pensamiento_inv","AC_Rituales_inv","AC_sub_lenguaje","AC_sub_social","AC_sub_rituales","AC_sub_identidad","AC_total","AC_items_usados"
"AG43S1022",2020-07-04,44,"H",3,"Agricultura","Diestro","si","union civil","Rural",1e+05,"Nunca/casi nunca","Si","NO","NO","Si",4,1,3,5,4,4,4,4,1,3,3,1,3,4,2,1,"27673","Derecha","13","Resguardo",7,"si","Resguardo Hondura-Florencia",25,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","Siempre",5,5,5,5,5,"Español","7","NA","NA","4","NA","NA","NA","Siempre",4,5,5,5,3,4,4,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,2,2,1,1,1,1,6,6,1,1,6,6,1,4,3,5,1,4,3,24,2,100,33,29,10,4,6,18,15,4,4,6,14,6,12,0,0,0,74,58,27,32.5151515151515,18.4235294117647,0,14,17,31,155,400,5,6,11,14,0,3,2,5,3,1,2,2,2,2,3,19,8,3,6,36,16
"AG23S1023",2020-07-04,23,"M",3,"artesania","Diestro","si","soltero/a","Rural",1e+05,"Nunca/casi nunca","Si","NO","NO","Si",3,3,3,5,5,1,3,5,3,3,3,3,3,2,1,1,"35479","Derecha","8","Resguardo",7,"si","Resguardo Hondura-Florencia",16,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","Familia",5,5,5,5,5,"Español","12","NA","NA","4","NA","NA","NA","Trabajo",3,3,0,0,3,1,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,4,1,1,1,6,6,1,6,5,5,1,5,1,23,2,100,15,12,1,1,2,11,8,3,3,5,11,6,12,6,5,11,15,10,8,6,4.44444444444444,1,7,25,32,200,520,1,1,2,4,0,1,3,3,3,1,1,5,3,1,3,20,12,3,3,38,16
"AG18S1024",2020-07-04,18,"M",9,"Estudiante","Diestro","si","soltero/a","Rural",270000,"Nunca/casi nunca","NO","SI","NO","Si",2,1,1,1,3,3,1,3,3,3,3,3,4,4,3,4,"37846","Derecha","5","Resguardo",6,"si","Florencia",10,"Florencia","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","NA","0","0","0","NA","Siempre",5,5,5,5,4,"español","12","NA","NA","5","5","5","NA","Escuela",1,5,5,1,1,4,2,3,3,3,3,3,3,3,3,3,3,1,2,1,1,1,1,1,4,2,2,2,1,1,2,1,1,4,2,3,3,5,5,5,4,24,7,100,36,26,8,5,10,14,11,5,3,3,11,7,11,1,0,1,96,57,29,35.7647058823529,19.2209302325581,1,9,24,33,71,110,8,7,15,35,0,3,4,5,5,5,3,3,5,3,2,33,12,2,10,57,16
"AG42S1025",2020-07-05,42,"H",19,"Profesor","Diestro","si","union civil","Rural",1400000,"Nunca/casi nunca","NO","SI","NO","Si",2,1,1,5,3,1,3,1,1,3,3,3,4,6,3,2,"28494","Derecha","9","Resguardo",5,"si","Putumayo",12,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","5","5","5","5","0","Siempre",5,5,5,5,5,"Español","9","NA","0","4","5","5","5","Siempre",5,5,5,5,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,1,1,2,2,2,1,2,2,2,4,6,2,4,4,6,2,4,3,5,5,3,4,28,2,100,32,22,12,9,13,17,12,4,7,3,14,8,11,0,0,0,91,54,29,33.8896551724138,18.8674698795181,2,10,20,30,55,160,6,4,10,38,4,5,4,5,5,1,3,5,3,5,2,31,10,2,10,53,16
"AG73S1026",2020-07-05,73,"H",0,"Agricultura","Diestro","si","Casado/a","Rural",38000,"Nunca/casi nunca","NO","NO","NO","Si",4,5,5,5,5,3,4,5,3,3,1,3,5,4,4,3,"17167","Derecha","NA","Resguardo",5,"si","El Dobio Valle",58,"Aldobia Valle","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","Siempre",5,5,0,0,5,"Español","6","NA","NA","NA","NA","NA","NA","Siempre",4,4,0,0,3,4,4,1,1,2,1,2,3,2,2,2,3,1,1,1,1,2,2,2,2,6,4,4,2,4,4,5,3,3,5,3,4,4,5,3,5,23,8,95,22,16,7,6,8,8,12,3,5,6,14,6,10,1,0,1,8,9,8,4.23529411764706,4.23529411764706,0,10,12,22,90,274,2,3,5,24,2,3,2,1,1,1,1,3,2,1,1,12,10,1,10,33,16
"AG29S2027",2020-07-11,29,"H",6,"Agricultura","Diestro","si","union civil","Rural",50000,"3-5 veces a la semana","NO","NO","NO","Si",4,1,1,5,5,4,3,5,1,3,3,3,5,4,3,1,"33357","Derecha","3","Resguardo",8,"si","Florencia",5,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","5","5","5","NA","NA","Familia",5,5,5,5,5,"Español","6","NA","0","4","5","NA","NA","Trabajo",4,4,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,1,1,1,1,5,6,1,1,4,6,1,6,5,5,1,5,2,23,3,100,33,12,5,5,7,11,8,4,4,9,17,5,9,1,0,1,95,52,29,33.6054421768707,-4.60544217687075,1,11,19,30,60,250,6,3,9,30,1,3,2,5,5,1,1,2,3,1,1,20,10,1,7,38,16
"AG28S2028",2020-07-11,28,"M",11,"Ama de casa","Diestro","si","soltero/a","Rural",150000,"Nunca/casi nunca","NO","NO","NO","Si",3,1,1,3,3,1,1,1,3,3,3,3,3,2,5,1,"33611","Derecha","6","Resguardo",10,"si","V. Santo Domingo",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","5","5","5","5","NA","Familia",5,5,0,0,5,"Español","7","NA","0","4","5","5","NA","Amigos",5,5,5,5,3,3,3,2,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,1,1,1,2,6,6,2,3,4,6,1,4,5,5,1,5,1,26,1,100,35,19,12,7,11,12,12,5,4,7,16,8,12,2,0,2,65,70,39,33.7037037037037,5.2962962962963,3,8,18,26,62,105,8,7,15,47,4,1,3,5,5,3,3,5,5,5,3,34,12,3,7,56,16
"AG28S2029",2020-07-11,28,"M",5,"artesania","Diestro","si","union civil","Rural",150000,"1-2 veces a la semana","Si","NO","NO","Si",4,1,1,3,4,3,4,4,3,3,3,1,5,2,3,1,"33678","zurdo","6","Resguardo",10,"si","Resguardo Hondura-Florencia",10,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","5","5","NA","NA","NA","Familia",5,5,5,5,5,"Español","6","NA","0","4","NA","NA","NA","Trabajo",4,5,2,2,3,1,3,2,3,3,2,3,3,2,3,3,3,2,2,2,2,2,2,2,1,4,2,5,4,4,4,1,4,4,4,4,5,5,5,5,2,23,4,100,10,9,5,8,9,15,13,6,8,7,21,5,10,1,0,1,70,52,38,29.8360655737705,8.16393442622951,2,25,10,35,72,320,1,2,3,25,1,1,2,5,5,3,2,3,2,2,1,24,10,1,5,40,16
"AG43S2030",2020-07-11,41,"M",11,"Agricultura","Diestro","si","union civil","Rural",125000,"1-2 veces a la semana","NO","NO","NO","Si",4,1,1,5,3,3,4,5,2,3,3,3,5,4,2,1,"28222","Derecha","5","Resguardo",8,"si","Resguardo Hondura-Florencia",12,"V.Santo Domingo","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","0","5","5","5","NA","Familia",5,5,5,5,5,"Español","6","NA","0","4","5","5","NA","Amigos",5,5,5,5,3,4,1,2,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,1,4,1,1,4,6,1,1,4,3,1,4,3,5,1,5,3,25,2,100,28,20,12,9,6,14,16,0,4,5,9,9,12,3,0,3,110,69,38,42.4022346368715,-4.4022346368715,2,8,17,25,59,261,4,9,13,31,1,3,2,5,5,1,3,3,2,1,1,22,11,1,6,40,16
"AG21S3032",2020-07-18,21,"M",0,"Ama de casa","Diestro","si","union civil","Rural",1e+05,"Nunca/casi nunca","NO","NO","NO","Si",5,3,3,5,5,5,5,5,2,2,2,3,5,2,3,1,"36172","derecha","NA","Resguardo",7,"si","Resguardo Hondura-Florencia",14,"florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","Comunidad",5,5,5,5,5,"Español","2","NA","NA","NA","NA","NA","NA","Amigos",2,2,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,6,6,1,2,6,6,1,6,5,5,1,5,1,22,0,100,15,7,3,0,3,11,12,6,7,7,20,5,10,1,0,1,105,45,39,31.5,7.5,2,6,19,25,141,300,2,2,4,5,1,1,1,3,3,1,1,1,1,1,1,12,9,1,5,27,16
"AG36S3033",2020-07-18,36,"H",3,"Guardia","Diestro","si","union civil","Rural",4e+05,"Nunca/casi nunca","Si","NO","NO","Si",5,2,2,5,5,5,5,5,2,2,2,2,5,4,3,1,"30815","derecha","6","Resguardo",7,"si","Resguardo Hondura-Florencia",14,"florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","Comunidad",5,5,5,5,5,"Español","8","NA","NA","0","NA","NA","NA","Visitantes",4,4,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,6,6,1,1,6,6,1,6,5,1,1,5,1,29,0,100,34,27,10,7,11,16,11,4,3,3,10,8,12,3,0,3,63,57,30,29.925,0.0749999999999993,2,5,17,22,75,152,3,2,5,17,2,3,1,4,4,1,1,1,1,1,1,14,8,1,7,30,16
"AG22S2034",2020-07-18,22,"H",11,"artesania","Diestro","si","union civil","Rural",4e+05,"1-2 veces a la semana","NO","NO","NO","Si",3,1,1,4,4,3,3,2,4,4,4,3,3,6,4,1,"35962","zurdo","4","Resguardo",8,"si","Florencia",13,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","NA","1","1","1","NA","Comunidad",5,4,2,2,5,"Español","2","NA","NA","5","5","5","NA","Visitantes",5,4,4,4,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,6,6,1,1,6,6,1,6,5,5,1,6,1,25,2,100,35,32,15,16,21,17,22,5,7,8,20,8,11,1,0,1,82,68,38,37.1733333333333,0.826666666666668,4,2,6,8,42,89,8,7,15,25,1,5,3,5,5,2,2,3,3,4,3,27,15,3,10,55,16
"AG30S3035",2020-07-18,30,"H",6,"Construccion","Diestro","si","soltero/a","Rural",5e+05,"3-5 veces a la semana","NO","NO","NO","Si",3,3,3,3,3,3,3,4,3,3,3,3,5,4,3,1,"33002","derecha","6","Resguardo",11,"si","Resguardo Hondura-Florencia",12,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","5","5","NA","NA","NA","Siempre",5,5,5,5,2,"Español","15","5","5","NA","NA","NA","NA","siempre",5,5,5,5,2,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,1,6,6,2,2,6,5,1,6,2,5,3,3,2,21,12,100,22,12,3,8,6,12,13,3,6,2,11,5,9,2,0,2,89,52,28,32.822695035461,-4.822695035461,2,15,9,24,137,853,0,0,0,8,7,3,3,3,3,3,3,3,3,2,1,23,12,1,7,43,16
"AG35S2036",2020-07-18,35,"H",4,"Agricultura","Diestro","si","union civil","Rural",1e+05,"Nunca/casi nunca","Si","NO","NO","Si",4,3,3,5,5,3,4,5,3,3,3,3,5,4,3,1,"31174","derecha","10","Resguardo",7,"si","Florencia",14,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,3,3,5,"Español","12","NA","NA","2","NA","NA","NA","amigos",3,3,3,3,3,4,5,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,4,3,3,3,6,3,4,5,2,2,2,4,3,2,3,1,4,25,3,100,32,28,6,5,6,13,10,3,5,6,14,6,9,0,0,0,56,40,18,23.3333333333333,-5.33333333333333,1,9,15,24,102,377,3,3,6,11,5,3,2,3,3,1,1,3,2,1,1,16,12,1,7,36,16
"AG35S1037",2020-07-18,35,"M",7,"artesania","Diestro","si","union civil","Rural",2e+05,"Nunca/casi nunca","NO","NO","NO","Si",4,4,2,5,5,3,3,5,2,2,3,3,4,2,3,1,"30909","derecha","6","Resguardo",7,"si","Florencia",14,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","0","NA","NA","comunidad",5,5,4,4,5,"Español","11","NA","NA","0","5","NA","NA","Visitantes",4,4,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,6,2,1,6,6,1,6,1,5,1,3,1,26,4,100,28,18,10,4,6,14,10,3,6,7,16,8,10,1,0,1,60,50,27,27.2727272727273,-0.272727272727273,2,10,12,22,80,260,5,5,10,22,2,1,2,2,4,1,1,3,3,1,2,17,10,2,5,34,16
"AG36S3038",2020-07-18,36,"H",9,"Agricultura","Diestro","si","union civil","Rural",250000,"Nunca/casi nunca","NO","NO","NO","Si",5,5,5,5,5,5,5,5,1,1,1,1,5,2,1,1,"30530","derecha","6","Resguardo",7,"si","Florencia",15,"florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","NA","5","0","NA","NA","Resguardo",5,5,5,5,5,"Español","10","NA","NA","0","0","NA","NA","Siempre",4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,6,1,1,6,6,1,6,1,4,3,5,1,28,2,100,28,20,10,8,9,18,20,5,6,6,17,9,12,1,0,1,60,50,28,27.2727272727273,0.727272727272727,3,8,12,20,42,150,5,6,11,28,0,1,1,1,1,1,1,1,1,1,1,8,4,1,3,16,16
"AG31S3039",2020-07-18,31,"M",2,"artesania","Diestro","si","union civil","Rural",1e+05,"Nunca/casi nunca","Si","NO","NO","Si",4,4,2,4,5,5,5,5,3,3,4,3,5,4,3,1,"29640","derecha","7","Resguardo",8,"si","Resguardo Hondura-Florencia",13,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","5","5","NA","NA","NA","NA","Resguardo",5,5,2,0,5,"Español","7","0","5","NA","NA","NA","NA","Externos",3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,6,6,1,4,6,5,1,6,5,5,2,4,1,26,0,100,28,22,9,6,10,11,14,3,7,6,16,7,12,3,0,3,71,56,23,31.3070866141732,-8.30708661417323,1,5,21,26,59,497,4,5,9,21,5,3,2,2,4,2,1,1,1,1,1,14,13,1,7,35,16
"AG66S3040",2020-07-18,66,"H",0,"artesania","Diestro","si","Viudez","Rural",2e+05,"Nunca/casi nunca","NO","NO","NO","Si",5,5,5,5,5,5,5,5,2,2,3,3,5,4,2,1,"19779","derecha","NA","Resguardo",7,"si","Florencia",14,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","comunidad",5,5,3,3,5,"Español","12","NA","NA","NA","NA","NA","NA","Externos",3,3,1,1,3,2,3,2,3,3,3,3,2,2,3,3,3,2,2,2,2,1,1,1,1,1,1,2,5,5,2,2,5,4,5,4,5,2,3,3,3,23,2,100,18,12,2,1,3,15,12,2,3,5,10,7,12,0,0,0,66,50,28,28.448275862069,-0.448275862068964,1,20,11,31,108,309,3,1,4,6,0,3,1,1,1,1,1,1,1,1,1,8,10,1,6,25,16
"CZ19S1041",2020-07-04,19,"M",9,"artesania","Diestro","si","union civil","Rural",3e+05,"1-2 veces a la semana","NO","NO","NO","Si",3,1,1,3,3,3,1,3,3,3,3,3,4,4,3,3,"36424","derecha","6","Resguardo",8,"si","Florencia",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","0","0","0","0","5","NA","Siempre",5,5,5,0,1,"Español","1","0","5","5","5","5","NA","siempre",5,5,5,5,3,4,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,4,2,4,4,6,4,1,4,4,1,4,3,5,3,5,2,27,7,100,23,10,8,6,7,20,20,3,7,9,19,9,12,4,6,10,62,46,26,26.4074074074074,-0.407407407407408,3,4,17,21,60,127,4,5,9,27,5,3,3,5,5,3,3,3,5,3,2,30,12,2,9,53,16
"CZ24S1042",2020-07-04,24,"H",12,"Gestor local","Diestro","si","soltero/a","Rural",4e+05,"1-2 veces a la semana","NO","NO","NO","Si",3,3,3,5,3,3,3,1,4,3,3,3,5,4,3,1,"35055","derecha","5","Resguardo",1,"si","Bogota",4,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","0","5","5","1","0","0","Siempre",5,5,5,5,2,"Español","8","0","0","5","5","5","5","siempre",5,5,5,5,2,3,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,3,2,1,6,6,1,2,6,2,1,4,5,5,3,5,3,28,4,100,27,24,11,12,7,12,13,7,9,10,26,10,12,1,0,1,93,48,38,31.6595744680851,6.34042553191489,6,3,6,9,67,110,7,5,12,52,1,3,3,3,3,1,3,3,3,5,1,24,13,1,7,45,16
"CZ64S1043",2020-07-04,64,"M",0,"artesania","Diestro","si","soltero/a","Rural",2e+05,"1-2 veces a la semana","NO","NO","NO","Si",4,4,4,4,4,5,4,5,5,5,5,5,5,2,2,1,"25014","derecha","0","Resguardo",7,"si","Florencia",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","Siempre",5,5,5,5,5,"Español","NA","NA","NA","NA","NA","NA","NA","Visitantes",3,3,1,1,2,3,4,1,3,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,2,3,2,3,5,5,2,2,4,4,2,4,3,1,3,3,4,22,7,100,17,12,3,1,4,8,6,3,4,5,12,7,12,0,0,0,22,15,16,8.91891891891892,7.08108108108108,1,15,17,32,130,280,2,4,6,6,1,1,2,2,2,2,2,1,2,1,1,14,20,1,4,39,16
"CZ19S1044",2020-07-04,19,"H",9,"Agricultura","Diestro","si","soltero/a","Rural",2e+05,"Nunca/casi nunca","NO","SI","NO","Si",2,3,2,4,3,1,1,3,2,3,2,3,3,4,3,4,"36916","derecha","7","Resguardo",7,"si","Curillo",1,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","0","0","0","5","NA","NA","Siempre",3,5,3,3,2,"Español","2","0","5","5","5","NA","NA","siempre",3,3,4,5,2,4,3,1,1,3,3,3,2,2,2,3,3,1,1,1,2,1,1,1,1,2,2,1,4,4,2,2,4,4,1,4,3,5,3,3,2,30,8,100,27,26,12,8,16,17,18,5,8,6,19,6,9,4,6,10,98,39,33,27.8978102189781,5.1021897810219,3,1,20,21,46,81,7,6,13,26,9,3,4,3,4,2,3,5,5,3,3,29,10,3,10,52,16
"CZ33S1045",2020-07-04,33,"H",5,"Agricultura","Diestro","si","soltero/a","Rural",80000,"Nunca/casi nunca","Si","NO","NO","Si",4,3,4,3,4,2,4,5,3,1,3,3,5,4,2,1,"32293","derecha","5","Resguardo",8,"si","Resguardo Hondura-Florencia",13,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","0","0","NA","NA","NA","Siempre",5,5,5,5,5,"Español","10","NA","5","5","NA","NA","NA","siempre",5,5,5,5,3,4,1,2,3,1,2,1,3,1,3,3,3,2,1,2,2,2,1,1,1,3,2,4,5,1,3,5,6,4,1,4,3,2,3,4,1,26,3,100,23,12,8,7,8,20,14,5,6,6,17,6,12,1,0,1,92,50,25,32.3943661971831,-7.3943661971831,0,10,25,35,104,404,6,2,8,20,14,3,2,3,2,3,2,4,2,1,1,19,10,1,6,36,16
"CZ35S1046",2020-07-04,35,"M",9,"Ama de casa","Diestro","si","union civil","Rural",2e+05,"Nunca/casi nunca","NO","NO","NO","Si",3,3,3,3,4,4,2,4,2,3,4,3,5,4,2,1,"30372","derecha","7","Resguardo",8,"si","Resguardo Hondura-Florencia",6,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",95,"Embera","Desde el nacimiento","NA","NA","5","5","NA","NA","Siempre",5,5,5,5,2,"Español","3","NA","NA","5","5","NA","NA","siempre",3,3,3,3,2,3,3,3,2,1,1,1,2,2,2,2,3,1,1,1,1,1,1,1,4,3,4,2,3,2,5,4,1,1,1,4,3,1,1,2,3,26,3,100,14,10,4,3,7,17,12,3,4,7,14,6,12,2,0,2,73,61,35,33.2313432835821,1.76865671641791,2,11,11,22,65,480,4,5,9,28,1,3,3,3,3,3,2,2,4,2,1,22,12,1,6,41,16
"CZ36S2047",2020-07-11,36,"M",2,"Ama de casa","Diestro","si","union civil","Rural",2e+05,"1-2 veces a la semana","Si","NO","NO","Si",3,2,2,3,3,3,3,3,3,3,3,3,5,4,3,1,"30796","derecha","11","Resguardo",10,"si","Florencia",4,"Florencia","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","Siempre",5,5,1,1,2,"Español","8","NA","NA","5","NA","NA","NA","siempre",4,4,1,1,2,4,4,2,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,1,1,1,4,5,4,2,2,4,6,1,4,3,2,2,3,2,23,4,100,17,12,6,7,5,11,13,4,2,6,12,4,12,5,6,11,61,55,38,28.9224137931034,9.07758620689655,1,21,9,30,172,435,0,0,0,8,6,3,3,4,4,3,3,3,3,3,1,26,12,1,7,46,16
"CZ28S2049",2020-07-11,28,"H",8,"artesania","ambidiestro/a","si","union civil","Rural",6e+05,"1-2 veces a la semana","NO","NO","NO","Si",3,3,3,3,3,3,3,5,3,3,3,3,3,4,3,1,"34137","derecha","4","Resguardo",1,"si","La Macarena",12,"San Vicente del Caguan","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","5","5","5","NA","NA","Siempre",5,5,5,5,2,"Español","0","NA","5","5","5","NA","NA","siempre",5,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,6,6,6,1,1,6,5,1,5,5,5,5,3,2,30,5,100,20,9,9,9,12,17,13,5,5,3,13,8,12,3,0,3,101,61,39,38.0308641975309,0.969135802469133,1,8,17,25,63,129,9,7,16,3,0,3,3,3,3,3,3,3,3,1,3,22,12,3,7,44,16
"CZ30S2050",2020-07-11,30,"M",3,"Ama de casa","Diestro","si","union civil","Rural",150000,"1-2 veces a la semana","Si","NO","NO","Si",3,2,1,3,3,3,3,3,3,3,3,3,5,4,3,1,"32337","derecha","5","Resguardo",9,"si","Florencia",5,"Florencia","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","Siempre",5,5,0,0,5,"Español","0","NA","NA","5","NA","NA","NA","siempre",3,3,3,5,2,3,1,3,3,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,6,4,1,1,2,4,2,2,3,2,2,3,2,28,7,100,21,11,3,6,5,8,8,5,6,5,16,10,12,3,0,3,76,66,29,35.3239436619718,-6.32394366197183,1,5,22,27,83,235,5,7,12,18,0,3,3,4,5,3,3,3,3,3,1,27,12,1,7,47,16
"CZ18S2051",2020-07-11,18,"M",12,"Ama de casa","Diestro","si","soltero/a","Rural",5e+05,"Nunca/casi nunca","NO","SI","NO","Si",3,1,1,3,3,3,3,3,2,3,3,3,5,4,3,3,"37187","derecha","4","Resguardo",5,"si","Putumayo",10,"Resguardo Honduras","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","5","5","5","0","NA","Siempre",5,5,3,3,2,"Español","0","NA","5","5","5","5","NA","siempre",5,5,5,5,2,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,1,6,6,1,4,1,4,2,4,3,3,3,3,4,28,2,100,21,14,10,9,10,14,15,4,4,5,13,4,11,0,0,0,79,53,36,31.719696969697,4.28030303030303,6,1,5,6,67,110,7,6,13,35,1,3,3,5,5,3,3,3,3,3,1,28,11,1,9,49,16
